,location_id,lat,lon,year,month,mean_aqi
0,233401,24.68122,46.62074,2025,1,74.06134
1,233401,24.68122,46.62074,2025,2,74.130104
2,233401,24.68122,46.62074,2025,3,72.4013
3,233401,24.68122,46.62074,2025,4,72.22088
4,233401,24.68122,46.62074,2025,5,69.888275
5,233401,24.68122,46.62074,2025,6,70.12626
6,233401,24.68122,46.62074,2025,7,67.25985
7,233401,24.68122,46.62074,2025,8,67.36035
8,233401,24.68122,46.62074,2025,9,64.8728
9,233401,24.68122,46.62074,2025,10,64.42421
10,233401,24.68122,46.62074,2025,11,62.82914
11,233401,24.68122,46.62074,2025,12,61.500404
12,370092,24.702744,46.71336,2025,1,46.178234
13,370092,24.702744,46.71336,2025,2,44.633244
14,370092,24.702744,46.71336,2025,3,46.377625
15,370092,24.702744,46.71336,2025,4,44.578632
16,370092,24.702744,46.71336,2025,5,46.15183
17,370092,24.702744,46.71336,2025,6,45.00282
18,370092,24.702744,46.71336,2025,7,45.857033
19,370092,24.702744,46.71336,2025,8,45.855274
20,370092,24.702744,46.71336,2025,9,45.357235
21,370092,24.702744,46.71336,2025,10,46.487934
22,370092,24.702744,46.71336,2025,11,45.30373
23,370092,24.702744,46.71336,2025,12,47.071968
24,65623,22.316,39.092,2025,1,60.95744
25,65623,22.316,39.092,2025,2,58.886395
26,65623,22.316,39.092,2025,3,58.511234
27,65623,22.316,39.092,2025,4,56.78729
28,65623,22.316,39.092,2025,5,56.81013
29,65623,22.316,39.092,2025,6,54.77715
30,65623,22.316,39.092,2025,7,55.182022
31,65623,22.316,39.092,2025,8,53.463394
32,65623,22.316,39.092,2025,9,53.630245
33,65623,22.316,39.092,2025,10,52.642155
34,65623,22.316,39.092,2025,11,52.340073
35,65623,22.316,39.092,2025,12,52.155373
36,69675,21.41645,39.221752,2025,1,49.6486
37,69675,21.41645,39.221752,2025,2,50.10716
38,69675,21.41645,39.221752,2025,3,49.68603
39,69675,21.41645,39.221752,2025,4,49.69707
40,69675,21.41645,39.221752,2025,5,48.84218
41,69675,21.41645,39.221752,2025,6,49.662518
42,69675,21.41645,39.221752,2025,7,48.023197
43,69675,21.41645,39.221752,2025,8,49.44701
44,69675,21.41645,39.221752,2025,9,47.26714
45,69675,21.41645,39.221752,2025,10,48.86611
46,69675,21.41645,39.221752,2025,11,46.942154
47,69675,21.41645,39.221752,2025,12,48.09303
48,6993,26.304855,50.154302,2025,1,47.122658
49,6993,26.304855,50.154302,2025,2,47.462494
50,6993,26.304855,50.154302,2025,3,46.22213
51,6993,26.304855,50.154302,2025,4,47.097797
52,6993,26.304855,50.154302,2025,5,46.291424
53,6993,26.304855,50.154302,2025,6,46.224644
54,6993,26.304855,50.154302,2025,7,46.469772
55,6993,26.304855,50.154302,2025,8,45.2482
56,6993,26.304855,50.154302,2025,9,46.81526
57,6993,26.304855,50.154302,2025,10,44.77981
58,6993,26.304855,50.154302,2025,11,46.69512
59,6993,26.304855,50.154302,2025,12,44.638435
60,7673,21.543486,39.172989,2025,1,51.30114
61,7673,21.543486,39.172989,2025,2,50.48977
62,7673,21.543486,39.172989,2025,3,51.12354
63,7673,21.543486,39.172989,2025,4,50.46326
64,7673,21.543486,39.172989,2025,5,51.464867
65,7673,21.543486,39.172989,2025,6,50.163383
66,7673,21.543486,39.172989,2025,7,51.536053
67,7673,21.543486,39.172989,2025,8,50.084175
68,7673,21.543486,39.172989,2025,9,51.188267
69,7673,21.543486,39.172989,2025,10,50.1101
70,7673,21.543486,39.172989,2025,11,50.583263
71,7673,21.543486,39.172989,2025,12,50.221313
72,8688,26.276861,50.147232,2025,1,51.20945
73,8688,26.276861,50.147232,2025,2,51.737335
74,8688,26.276861,50.147232,2025,3,50.91924
75,8688,26.276861,50.147232,2025,4,51.413395
76,8688,26.276861,50.147232,2025,5,50.35907
77,8688,26.276861,50.147232,2025,6,51.37844
78,8688,26.276861,50.147232,2025,7,50.123787
79,8688,26.276861,50.147232,2025,8,51.155857
80,8688,26.276861,50.147232,2025,9,50.29855
81,8688,26.276861,50.147232,2025,10,50.89121
82,8688,26.276861,50.147232,2025,11,50.710335
83,8688,26.276861,50.147232,2025,12,50.610535
