location_id,sensors_id,location,datetime,lat,lon,parameter,units,value,year,month,measurand
65623,402156,IRC-60621,2023-02-07T01:34:48-01:00,22.316,39.092,pm10,µg/m³,11.6,2023,2,
65623,402156,IRC-60621,2023-02-07T01:36:48-01:00,22.316,39.092,pm10,µg/m³,12.6,2023,2,
65623,402156,IRC-60621,2023-02-07T01:38:48-01:00,22.316,39.092,pm10,µg/m³,9.9,2023,2,
65623,402156,IRC-60621,2023-02-07T01:40:48-01:00,22.316,39.092,pm10,µg/m³,10.5,2023,2,
65623,402156,IRC-60621,2023-02-07T01:42:48-01:00,22.316,39.092,pm10,µg/m³,12.9,2023,2,
65623,402156,IRC-60621,2023-02-07T01:44:48-01:00,22.316,39.092,pm10,µg/m³,12.3,2023,2,
65623,402156,IRC-60621,2023-02-07T01:46:48-01:00,22.316,39.092,pm10,µg/m³,14.9,2023,2,
65623,402156,IRC-60621,2023-02-07T01:48:48-01:00,22.316,39.092,pm10,µg/m³,11.9,2023,2,
65623,402156,IRC-60621,2023-02-07T01:50:48-01:00,22.316,39.092,pm10,µg/m³,13.1,2023,2,
65623,402156,IRC-60621,2023-02-07T01:52:48-01:00,22.316,39.092,pm10,µg/m³,15.2,2023,2,
65623,402156,IRC-60621,2023-02-07T01:54:48-01:00,22.316,39.092,pm10,µg/m³,13.2,2023,2,
65623,402156,IRC-60621,2023-02-07T01:56:48-01:00,22.316,39.092,pm10,µg/m³,14.2,2023,2,
65623,402156,IRC-60621,2023-02-07T01:58:48-01:00,22.316,39.092,pm10,µg/m³,13,2023,2,
65623,402156,IRC-60621,2023-02-07T02:00:48-01:00,22.316,39.092,pm10,µg/m³,11.7,2023,2,
65623,402156,IRC-60621,2023-02-07T02:02:48-01:00,22.316,39.092,pm10,µg/m³,13.8,2023,2,
65623,402156,IRC-60621,2023-02-07T02:04:48-01:00,22.316,39.092,pm10,µg/m³,12.6,2023,2,
65623,402156,IRC-60621,2023-02-07T02:06:48-01:00,22.316,39.092,pm10,µg/m³,14.8,2023,2,
65623,402156,IRC-60621,2023-02-07T02:08:48-01:00,22.316,39.092,pm10,µg/m³,14.2,2023,2,
65623,402156,IRC-60621,2023-02-07T02:10:48-01:00,22.316,39.092,pm10,µg/m³,12.2,2023,2,
65623,402156,IRC-60621,2023-02-07T02:12:48-01:00,22.316,39.092,pm10,µg/m³,12.7,2023,2,
65623,402156,IRC-60621,2023-02-07T02:14:49-01:00,22.316,39.092,pm10,µg/m³,10.8,2023,2,
65623,402156,IRC-60621,2023-02-07T02:16:49-01:00,22.316,39.092,pm10,µg/m³,11.4,2023,2,
65623,402156,IRC-60621,2023-02-07T02:18:49-01:00,22.316,39.092,pm10,µg/m³,9.6,2023,2,
65623,402156,IRC-60621,2023-02-07T02:20:49-01:00,22.316,39.092,pm10,µg/m³,10.8,2023,2,
65623,402156,IRC-60621,2023-02-07T02:24:49-01:00,22.316,39.092,pm10,µg/m³,10.8,2023,2,
65623,402156,IRC-60621,2023-02-07T02:30:49-01:00,22.316,39.092,pm10,µg/m³,9.4,2023,2,
65623,402156,IRC-60621,2023-02-07T02:32:49-01:00,22.316,39.092,pm10,µg/m³,11.6,2023,2,
65623,402156,IRC-60621,2023-02-07T02:34:49-01:00,22.316,39.092,pm10,µg/m³,10.7,2023,2,
65623,402156,IRC-60621,2023-02-07T02:36:49-01:00,22.316,39.092,pm10,µg/m³,11.3,2023,2,
65623,402156,IRC-60621,2023-02-07T02:38:49-01:00,22.316,39.092,pm10,µg/m³,10.3,2023,2,
