,location_id,lat,lon,year,month,mean_aqi
0,233401,24.68122,46.62074,2024,1,74.31878
1,233401,24.68122,46.62074,2024,2,74.52453
2,233401,24.68122,46.62074,2024,3,72.457214
3,233401,24.68122,46.62074,2024,4,72.6815
4,233401,24.68122,46.62074,2024,5,70.135284
5,233401,24.68122,46.62074,2024,6,70.41211
6,233401,24.68122,46.62074,2024,7,67.74223
7,233401,24.68122,46.62074,2024,8,67.37509
8,233401,24.68122,46.62074,2024,9,65.635025
9,233401,24.68122,46.62074,2024,10,64.363914
10,233401,24.68122,46.62074,2024,11,63.58472
11,233401,24.68122,46.62074,2024,12,61.481026
12,370092,24.702744,46.71336,2024,1,44.847946
13,370092,24.702744,46.71336,2024,2,46.17326
14,370092,24.702744,46.71336,2024,3,44.788815
15,370092,24.702744,46.71336,2024,4,45.95788
16,370092,24.702744,46.71336,2024,5,45.213783
17,370092,24.702744,46.71336,2024,6,45.542583
18,370092,24.702744,46.71336,2024,7,45.77362
19,370092,24.702744,46.71336,2024,8,45.04549
20,370092,24.702744,46.71336,2024,9,46.579933
21,370092,24.702744,46.71336,2024,10,45.065712
22,370092,24.702744,46.71336,2024,11,47.0046
23,370092,24.702744,46.71336,2024,12,45.390137
24,65623,22.316,39.092,2024,1,61.446598
25,65623,22.316,39.092,2024,2,58.860218
26,65623,22.316,39.092,2024,3,59.156963
27,65623,22.316,39.092,2024,4,56.781956
28,65623,22.316,39.092,2024,5,57.021793
29,65623,22.316,39.092,2024,6,55.15946
30,65623,22.316,39.092,2024,7,55.03263
31,65623,22.316,39.092,2024,8,54.128403
32,65623,22.316,39.092,2024,9,53.174873
33,65623,22.316,39.092,2024,10,53.2923
34,65623,22.316,39.092,2024,11,51.932617
35,65623,22.316,39.092,2024,12,52.609177
36,69675,21.41645,39.221752,2024,1,49.670746
37,69675,21.41645,39.221752,2024,2,50.38305
38,69675,21.41645,39.221752,2024,3,49.27285
39,69675,21.41645,39.221752,2024,4,49.76902
40,69675,21.41645,39.221752,2024,5,49.2373
41,69675,21.41645,39.221752,2024,6,48.849648
42,69675,21.41645,39.221752,2024,7,49.2118
43,69675,21.41645,39.221752,2024,8,47.792477
44,69675,21.41645,39.221752,2024,9,49.22575
45,69675,21.41645,39.221752,2024,10,47.108204
46,69675,21.41645,39.221752,2024,11,48.78865
47,69675,21.41645,39.221752,2024,12,46.651726
48,6993,26.304855,50.154302,2024,1,47.89975
49,6993,26.304855,50.154302,2024,2,46.42745
50,6993,26.304855,50.154302,2024,3,47.491783
51,6993,26.304855,50.154302,2024,4,46.229958
52,6993,26.304855,50.154302,2024,5,46.656784
53,6993,26.304855,50.154302,2024,6,46.41059
54,6993,26.304855,50.154302,2024,7,45.82844
55,6993,26.304855,50.154302,2024,8,46.764313
56,6993,26.304855,50.154302,2024,9,44.924755
57,6993,26.304855,50.154302,2024,10,46.731255
58,6993,26.304855,50.154302,2024,11,44.598476
59,6993,26.304855,50.154302,2024,12,46.51617
60,7673,21.543486,39.172989,2024,1,51.247852
61,7673,21.543486,39.172989,2024,2,50.3947
62,7673,21.543486,39.172989,2024,3,51.29785
63,7673,21.543486,39.172989,2024,4,50.622112
64,7673,21.543486,39.172989,2024,5,50.967762
65,7673,21.543486,39.172989,2024,6,51.012733
66,7673,21.543486,39.172989,2024,7,50.50711
67,7673,21.543486,39.172989,2024,8,51.374218
68,7673,21.543486,39.172989,2024,9,49.865353
69,7673,21.543486,39.172989,2024,10,51.293583
70,7673,21.543486,39.172989,2024,11,49.586273
71,7673,21.543486,39.172989,2024,12,50.940567
72,8688,26.276861,50.147232,2024,1,51.195953
73,8688,26.276861,50.147232,2024,2,51.993465
74,8688,26.276861,50.147232,2024,3,50.700207
75,8688,26.276861,50.147232,2024,4,51.473064
76,8688,26.276861,50.147232,2024,5,50.59367
77,8688,26.276861,50.147232,2024,6,50.91697
78,8688,26.276861,50.147232,2024,7,50.761932
79,8688,26.276861,50.147232,2024,8,50.32946
80,8688,26.276861,50.147232,2024,9,51.20253
81,8688,26.276861,50.147232,2024,10,50.118694
82,8688,26.276861,50.147232,2024,11,51.393803
83,8688,26.276861,50.147232,2024,12,50.1596
